ano,id_cidade,masculino,feminino,idade_0_4,idade_5_9,idade_10_14,idade_15_19,idade_20_29,idade_30_39,idade_40_49,idade_50_59,idade_60_69,idade_70_79,idade_80_ou_mais,total
2019,140002,6772,6024,2060,1644,1355,1256,2202,1629,1191,775,454,173,57,12796
2019,140005,8354,7156,2034,2091,1731,1326,2508,1904,1441,1207,782,360,126,15510
2019,140010,201259,197954,33436,32369,33383,35341,80251,74980,50956,31523,17340,7071,2563,399213
2019,140015,6819,5590,1662,1449,1225,1178,2276,1492,1226,864,670,272,95,12409
2019,140017,9854,8481,2108,1914,1579,1513,3187,2496,2178,1720,1048,463,129,18335
2019,140020,11757,10169,2257,2103,1893,1972,4334,3476,2637,1754,976,405,119,21926
2019,140023,5471,4698,1043,967,841,803,1892,1786,1265,841,444,222,65,10169
2019,140028,6330,5620,1252,1145,1007,987,2250,2034,1512,977,515,210,61,11950
2019,140030,9650,8203,1743,1651,1485,1468,3385,2970,2205,1497,892,426,131,17853
2019,140040,6127,5163,1773,1576,1314,1185,2177,1278,826,545,349,187,80,11290
2019,140045,9067,8334,2434,2118,1729,1597,3357,2298,1806,1104,627,247,84,17401
2019,140047,16451,13712,2682,2616,2450,2684,6399,5715,3326,2270,1297,573,151,30163
2019,140050,4329,3872,813,765,719,720,1597,1517,969,584,316,161,40,8201
2019,140060,4306,3680,592,571,538,589,1718,1699,994,647,403,174,61,7986
2019,140070,5564,4995,1911,1635,1352,1093,1835,1200,671,441,243,121,57,10559
